FLACOURTIACEAE|Aberia zeyheri |Aberia zeyheri Sond.||No|Dovyalis zeyheri|[No lifecycle defined]|[No lifeform defined]|0|0|0|0|[No distribution defined]
ORCHIDACEAE|Disa versicolor |Disa versicolor Rchb.f.|LC|No||Perennial|Geophyte, herb|0.2|0.69|0|2400|EC, FS, FSA, G, KZN, L, LIM, M, S, SA
SINOPTERIDACEAE|Doryopteris concolor|Doryopteris concolor (Langsd. & Fisch.) Kuhn|LC|No||Perennial|Geophyte, herb|0.2|0.3|100|200|B, EC, FSA, KZN, LIM, M, N, NW, S, SA, WC
HYACINTHACEAE|Drimia altissima |Drimia altissima (L.f.) Ker Gawl.|Declining|No||Perennial|Geophyte, succulent|1|2.5|50|915|B, EC, FS, FSA, G, KZN, LIM, M, N, NW, S, SA
MESEMBRYANTHEMACEAE|Drosanthemum floribundum |Drosanthemum floribundum (Haw.) Schwantes|LC|No||Perennial|Succulent|0|0.3|20|100|FSA, SA, WC
MESEMBRYANTHEMACEAE|Drosanthemum hispidum |Drosanthemum hispidum (L.) Schwantes|LC|No||Perennial|Succulent|0.3|0.6|0|1600|EC, FS, FSA, N, NC, SA, WC
DRYOPTERIDACEAE|Dryopteris lewalleana |Dryopteris lewalleana Pic.Serm.|LC|No||Perennial|Geophyte, herb, lithophyte|0.3|0.89|200|1800|EC, FS, FSA, G, KZN, LIM, M, S, SA, WC
POACEAE|Echinochloa colona |Echinochloa colona (L.) Link|LC|No||Annual|Graminoid|0|1.5|5|1800|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA
BORAGINACEAE|Ehretia rigida |Ehretia rigida (Thunb.) Druce subsp. rigida|LC|No||Perennial|Shrub, tree|0|4|150|1400|EC, FSA, NC, SA, WC
CELASTRACEAE|Elaeodendron zeyheri |Elaeodendron zeyheri Spreng. ex Turcz.|LC|No||Perennial|Tree|2|10|200|1750|EC, FSA, KZN, LIM, SA
POACEAE|Elionurus muticus |Elionurus muticus (Spreng.) Kunth|LC|No||Perennial|Graminoid|0|1.2|15|2500|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA
ZAMIACEAE|Encephalartos cycadifolius|Encephalartos cycadifolius (Jacq.) Lehm.|LC|No||Perennial|Shrub|0.25|0.89|950|1600|EC, FSA, SA
ZAMIACEAE|Encephalartos lehmannii |Encephalartos lehmannii Lehm.|NT|No||Perennial|Shrub, tree|0.6|1.79|700|950|EC, FSA, SA, WC
POACEAE|Eragrostis caesia |Eragrostis caesia Stapf|LC|No||Perennial|Graminoid|0|0.6|1200|3000|EC, FS, FSA, KZN, L, LIM, M, S, SA
POACEAE|Eragrostis capensis |Eragrostis capensis (Thunb.) Trin.|LC|No||Perennial|Graminoid|0|0.89|5|2500|EC, FS, FSA, G, KZN, L, LIM, M, NC, NW, S, SA, WC
POACEAE|Eragrostis chloromelas |Eragrostis chloromelas Steud.|LC|No||Perennial|Graminoid|0|0.8|40|2500|EC, FS, FSA, G, KZN, L, LIM, M, NC, NW, S, SA
POACEAE|Eragrostis curvula |Eragrostis curvula (Schrad.) Nees|LC|No||Perennial|Graminoid|0|1.2|3|2500|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
POACEAE|Eragrostis lehmanniana |Eragrostis lehmanniana Nees var. lehmanniana|LC|No||Perennial|Graminoid|0|0.6|200|2300|B, EC, FS, FSA, G, KZN, LIM, M, N, NC, NW, SA, WC
POACEAE|Eragrostis obtusa|Eragrostis obtusa Munro ex Ficalho & Hiern|LC|No||Perennial|Graminoid|0|0.4|30|1900|EC, FS, FSA, G, L, LIM, NC, NW, SA, WC
ERICACEAE|Erica caespitosa |Erica caespitosa Hilliard & B.L.Burtt|LC|No||Perennial|Dwarf shrub|0|0.5|0|0|EC, FSA, KZN, L, SA
ERICACEAE|Erica gracilis |Erica gracilis J.C.Wendl.|LC|No||Perennial|Shrub|0|0.5|0|0|FSA, SA, WC
ERICACEAE|Erica rupicola |Erica rupicola Klotzsch|DDD|No||Perennial|Dwarf shrub|0|0|0|0|FSA, SA, WC
FABACEAE|Erythrina acanthocarpa |Erythrina acanthocarpa E.Mey.|LC|No||Perennial|Shrub, succulent|1|2|250|1500|EC, FSA, SA
EUPHORBIACEAE|Euphorbia caterviflora |Euphorbia caterviflora N.E.Br.|LC|No| Euphorbia rhombifolia|Perennial|Dwarf shrub, shrub, succulent|0.1|0.3|275|2000|EC, FS, FSA, NC, SA, WC
EUPHORBIACEAE|Euphorbia ornithopus |Euphorbia ornithopus Jacq.|LC|No| Euphorbia patula|Perennial|Dwarf shrub, succulent|0.01|0.05|610|945|EC, FSA, SA
ASTERACEAE|Euryops spathaceus |Euryops spathaceus DC.|LC|No||Perennial|Shrub|0.3|1.5|20|1465|EC, FSA, SA, WC
POACEAE|Eustachys paspaloides |Eustachys paspaloides (Vahl) Lanza & Mattei|LC|No||Perennial|Graminoid|0|0.94|30|1900|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
CONVOLVULACEAE|Falkia repens |Falkia repens Thunb.|LC|No||Perennial|Herb|0.01|0.1|5|1220|EC, FSA, SA, WC
ASTERACEAE|Felicia filifolia |Felicia filifolia (Vent.) Burtt Davy subsp. filifolia|LC|No||Perennial|Shrub|0.6|1.5|15|2450|EC, FS, FSA, G, KZN, L, M, NC, NW, SA, WC
ASTERACEAE|Felicia muricata |Felicia muricata (Thunb.) Nees subsp. muricata|LC|No||Perennial|Shrub|0.01|0.69|10|2600|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
POACEAE|Festuca caprina |Festuca caprina Nees||No| Festuca caprina|Perennial|Graminoid|0|1|600|3000|EC, FS, FSA, G, KZN, L, M, NW, S, SA, WC
CYPERACEAE|Ficinia fascicularis|Ficinia fascicularis Nees|LC|No||Perennial|Cyperoid, helophyte, herb, mesophyte|0.15|0.5|5|1830|EC, FSA, KZN, SA, WC
CYPERACEAE|Ficinia stolonifera |Ficinia stolonifera Boeckeler|LC|No||Perennial|Cyperoid, herb, mesophyte|0.02|0.47|215|2440|EC, FS, FSA, G, KZN, L, LIM, M, S, SA, WC
POACEAE|Fingerhuthia sesleriiformis |Fingerhuthia sesleriiformis Nees|LC|No||Perennial|Graminoid|0|1.2|200|2800|EC, FS, FSA, G, KZN, L, M, NC, NW, SA, WC
FUMARIACEAE|Fumaria muralis |Fumaria muralis Sond. ex W.D.J.Koch subsp. muralis|Not Evaluated|No||Perennial|Herb|0|0.5|5|2285|EC, FS, FSA, G, KZN, LIM, NC, SA, WC
ASPHODELACEAE|Gasteria bicolor |Gasteria bicolor Haw. var. bicolor|LC|No||Perennial|Herb, succulent|0.07|0.21|18|610|EC, FSA, SA
ASPHODELACEAE|Gasteria pulchra |Gasteria pulchra (Aiton) Haw.|LC|No||Perennial|Herb, succulent|0.2|0.36|0|305|EC, FSA, SA
ASTERACEAE|Gazania rigens|Gazania rigens (L.) Gaertn. var. uniflora (L.f.) Roessler|LC|No||Perennial|Herb|0|0|3|60|EC, FSA, KZN, S, SA, WC
GERANIACEAE|Geranium baurianum |Geranium baurianum R.Knuth|LC|No||Perennial|Herb|0.1|0.6|152|1768|EC, FSA, KZN, SA
APOCYNACEAE|Gomphocarpus fruticosus|Gomphocarpus fruticosus (L.) Aiton f. subsp. fruticosus|LC|No||Annual (occ. perennial)|Herb, shrub|0.8|4|45|1500|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
BUDDLEJACEAE|Gomphostigma virgatum |Gomphostigma virgatum (L.f.) Baill.|LC|No||Perennial|Dwarf shrub, herb, shrub|0.3|2|110|2410|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, SA, WC
AMARANTHACEAE|Gomphrena celosioides|Gomphrena celosioides Mart.|Not Evaluated|No||Perennial|Herb|0.07|0.34|5|1830|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NW, S, SA
MALVACEAE|Grewia occidentalis |Grewia occidentalis L. var. occidentalis|LC|No||Perennial|Shrub, tree|0|3|2|2075|EC, FS, FSA, G, KZN, L, LIM, M, NW, S, SA, WC
MALVACEAE|Grewia robusta|Grewia robusta Burch.|LC|No||Perennial|Shrub|0|3|20|1372|EC, FSA, SA, WC
MALVACEAE|Grewia robusta |Grewia robusta Burch.|LC|No||Perennial|Shrub|0|3|20|1372|EC, FSA, SA, WC
CELASTRACEAE|Gymnosporia buxifolia|Gymnosporia buxifolia (L.) Szyszyl.   |LC|No|Maytenus heterophylla|Perennial|Shrub, tree|0|7|0|2000|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
ORCHIDACEAE|Habenaria epipactidea |Habenaria epipactidea Rchb.f.|LC|No||Perennial|Geophyte, herb|0.11|0.61|61|2400|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NW, S, SA
ORCHIDACEAE|Habenaria lithophila |Habenaria lithophila Schltr.|LC|No||Perennial|Geophyte, herb|0|0.34|366|2900|EC, FS, FSA, G, KZN, L, M, SA, WC
AMARYLLIDACEAE|Haemanthus montanus |Haemanthus montanus Baker|LC|No||Perennial|Geophyte|0.15|0.25|0|0|B, EC, FS, FSA, G, KZN, M, NW, SA
POACEAE|Harpochloa falx |Harpochloa falx (L.f.) Kuntze|LC|No||Perennial|Graminoid|0.4|0.89|30|3200|EC, FS, FSA, G, KZN, L, LIM, M, NW, S, SA, WC
ASPHODELACEAE|Haworthia bolusii  |Haworthia bolusii Baker var. blackbeardiana (Poelln.) M.B.Bayer|LC|No||Perennial|Succulent|0.05|0.34|500|1000|EC, FS, FSA, NC, SA
ASPHODELACEAE|Haworthia cooperi|Haworthia cooperi Baker var. dielsiana (Poelln.) M.B.Bayer|LC|No||Perennial|Succulent|0.01|0.36|500|1500|EC, FSA, SA
ASPHODELACEAE|Haworthia cymbiformis |Haworthia cymbiformis (Haw.) Duval var. obtusa (Haw.) Baker|DDT|No||Perennial|Succulent|0.02|0.12|500|1500|EC, FSA, SA
ASPHODELACEAE|Haworthia limifolia |Haworthia limifolia Marloth var. ubomboensis (I.Verd.) G.G.Sm.||No||Perennial|Succulent|0.02|0.3|0|610|FSA, S
ASPHODELACEAE|Haworthia nigra |Haworthia nigra (Haw.) Baker var. nigra|LC|No||Perennial|Succulent|0.15|0.52|300|765|EC, FSA, SA, WC
ASPHODELACEAE|Haworthia virella |Haworthia virella (M.B.Bayer) M.Hayashi|LC|No||Perennial|Succulent|0|0|0|0|EC, FSA, SA
ASTERACEAE|Helichrysum argyrophyllum |Helichrysum argyrophyllum DC.|LC|No||Perennial|Dwarf shrub|0.05|0.15|765|1675|EC, FSA, SA
ASTERACEAE|Helichrysum asperum |Helichrysum asperum (Thunb.) Hilliard & B.L.Burtt var. appressifolium (Moeser) Hilliard|LC|No||Perennial|Dwarf shrub|0.1|0.3|170|1535|EC, FSA, SA
ASTERACEAE|Helichrysum dasycephalum |Helichrysum dasycephalum O.Hoffm.|LC|No||Perennial|Dwarf shrub|0.1|0.5|1000|2500|EC, FS, FSA, L, SA
ASTERACEAE|Helichrysum hamulosum |Helichrysum hamulosum E.Mey. ex DC.|LC|No||Perennial|Dwarf shrub, shrub|0.3|0.75|365|1860|EC, FSA, NC, SA, WC
ASTERACEAE|Helichrysum lineare |Helichrysum lineare DC.|LC|No||Perennial|Herb|0.07|0.15|730|1980|B, EC, FS, FSA, G, KZN, L, LIM, N, NC, NW, SA, WC
ASTERACEAE|Helichrysum odoratissimum |Helichrysum odoratissimum (L.) Sweet var. odoratissimum|Not Evaluated|No||Perennial|Herb, shrub|0.2|1.75|5|3050|EC, FS, FSA, KZN, L, LIM, M, S, SA, WC
ASTERACEAE|Helichrysum rosum |Helichrysum rosum (P.J.Bergius) Less. var. arcuatum Hilliard|LC|No||Perennial|Dwarf shrub|0.15|0.3|50|1220|EC, FS, FSA, SA
ASTERACEAE|Helichrysum teretifolium |Helichrysum teretifolium (L.) D.Don|LC|No||Perennial|Dwarf shrub, shrub|0.1|0.3|5|1645|EC, FSA, KZN, SA, WC
ASTERACEAE|Helichrysum umbraculigerum |Helichrysum umbraculigerum Less.|LC|No||Perennial|Herb|0.25|1|5|2440|EC, FS, FSA, KZN, L, LIM, M, SA
ASTERACEAE|Helichrysum zeyheri |Helichrysum zeyheri Less.|LC|No||Perennial|Dwarf shrub, shrub|0.1|1|185|2479|B, EC, FS, FSA, L, LIM, N, NC, NW, SA, WC
POACEAE|Helictotrichon capense |Helictotrichon capense Schweick.|LC|No||Perennial|Graminoid|0|1|20|2195|EC, FSA, SA, WC
POACEAE|Helictotrichon galpinii |Helictotrichon galpinii Schweick.|LC|No||Perennial|Graminoid|0|0.6|2000|3000|EC, FSA, KZN, L, SA
POACEAE|Helictotrichon turgidulum |Helictotrichon turgidulum (Stapf) Schweick.|LC|No||Perennial|Graminoid|0|1|200|3200|EC, FS, FSA, G, KZN, L, LIM, M, NC, NW, S, SA, WC
MALVACEAE|Hermannia glabrata|Hermannia glabrata L.f.|LC|No||Perennial|Dwarf shrub|0.15|0.75|15|1465|EC, FSA, KZN, NC, SA, WC
MALVACEAE|Hermannia gracilis |Hermannia gracilis Eckl. & Zeyh.|LC|No||Perennial|Dwarf shrub, shrub|0.5|1.2|91|1035|EC, FSA, NC, SA, WC
MALVACEAE|Hermannia velutina |Hermannia velutina DC.|LC|No||Perennial|Dwarf shrub, shrub|0.69|3|5|1125|EC, FSA, KZN, S, SA, WC
POACEAE|Heteropogon contortus|Heteropogon contortus (L.) Roem. & Schult.|LC|No||Perennial|Graminoid|0|1|5|2500|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
MALVACEAE|Hibiscus pusillus |Hibiscus pusillus Thunb.|LC|No||Perennial|Herb|0.05|0.5|15|2100|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
POACEAE|Holcus lanatus|Holcus lanatus L.|Not Evaluated|No||Perennial|Graminoid|0|1|100|2200|EC, FSA, G, KZN, LIM, M, SA, WC
POACEAE|Hyparrhenia anamesa |Hyparrhenia anamesa Clayton|LC|No||Perennial|Graminoid|0|1.2|5|2800|EC, FS, FSA, G, KZN, L, LIM, M, NW, S, SA, WC
POACEAE|Hyparrhenia dregeana |Hyparrhenia dregeana (Nees) Stapf ex Stent|LC|No||Perennial|Graminoid|0|2|400|2200|EC, FS, FSA, G, KZN, L, LIM, M, N, NW, S, SA
POACEAE|Hyparrhenia hirta |Hyparrhenia hirta (L.) Stapf|LC|No||Perennial|Graminoid|0|1|5|2600|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
ACANTHACEAE|Hypoestes forskaolii |Hypoestes forskaolii (Vahl) R.Br.|LC|No||Perennial|Herb|0.2|1|3|1950|B, EC, FS, FSA, G, KZN, LIM, M, N, NC, NW, S, SA, WC
HYPOXIDACEAE|Hypoxis argentea |Hypoxis argentea Harv. ex Baker var. argentea|LC|No||Perennial|Geophyte|0.07|0.25|50|2100|EC, FS, FSA, G, KZN, L, LIM, M, NW, S, SA, WC
FABACEAE|Indigofera alternans |Indigofera alternans DC. var. alternans|LC|No||Perennial|Herb|0.01|2|155|1600|B, EC, FS, FSA, G, LIM, N, NC, NW, SA, WC
FABACEAE|Indigofera denudata|Indigofera denudata L.f.|LC|No||Perennial|Shrub|0.4|1.5|5|915|EC, FSA, SA
FABACEAE|Indigofera disticha |Indigofera disticha Eckl. & Zeyh.|LC|No||Perennial|Climber, herb|0.6|1.2|15|1144|EC, FSA, SA
FABACEAE|Indigofera sessilifolia |Indigofera sessilifolia DC.|LC|No||Perennial|Dwarf shrub, herb|0.15|0.89|230|2000|EC, FS, FSA, N, NC, NW, SA
CONVOLVULACEAE|Ipomoea crispa |Ipomoea crispa (Thunb.) Hallier f.|LC|No||Perennial|Herb|0|0|545|800|EC, FSA, SA
CYPERACEAE|Isolepis costata |Isolepis costata Hochst. ex A.Rich.|LC|No||Perennial|Cyperoid, helophyte, herb|0.1|0.64|230|5540|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
CYPERACEAE|Isolepis diabolica |Isolepis diabolica (Steud.) Schrad.|LC|No||Perennial|Cyperoid, helophyte, herb|0|0.36|40|2195|EC, FSA, KZN, NC, SA, WC
JUNCACEAE|Juncus effusus |Juncus effusus L.|LC|No||Perennial|Helophyte, herb|0.44|1|2|2050|EC, FS, FSA, G, KZN, L, LIM, M, NW, SA, WC
JUNCACEAE|Juncus oxycarpus |Juncus oxycarpus E.Mey. ex Kunth|LC|No||Perennial|Helophyte, herb|0.05|1|5|2439|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
CRASSULACEAE|Kalanchoe paniculata |Kalanchoe paniculata Harv.|LC|No||Perennial|Shrub, succulent|0|1.2|50|1800|B, EC, FS, FSA, G, KZN, LIM, M, N, NC, NW, S, SA
POACEAE|Karroochloa curva |Karroochloa curva (Nees) Conert & Türpe||No| Tribolium curvum|Perennial|Graminoid|0|0.4|10|2500|EC, FS, FSA, SA, WC
ASPHODELACEAE|Kniphofia triangularis |Kniphofia triangularis Kunth subsp. triangularis|LC|No||Perennial|Herb|0.3|1|910|2895|EC, FS, FSA, KZN, L, SA
ASPHODELACEAE|Kniphofia uvaria |Kniphofia uvaria (L.) Oken|LC|No||Perennial|Herb|0|1.2|15|2285|FSA, NC, SA, WC
POACEAE|Koeleria capensis |Koeleria capensis (Steud.) Nees|LC|No|Koeleria cristata|Perennial|Graminoid|0.15|0.8|15|3500|EC, FS, FSA, G, KZN, L, LIM, M, S, SA, WC
MESEMBRYANTHEMACEAE|Lampranthus stayneri |Lampranthus stayneri (L.Bolus) N.E.Br.|LC|No||Perennial|Succulent|0|0.34|190|450|EC, FSA, SA
ASTERACEAE|Lasiospermum bipinnatum |Lasiospermum bipinnatum (Thunb.) Druce|LC|No||Perennial|Herb|0|0.6|120|2400|EC, FS, FSA, G, L, NC, NW, SA, WC
BRASSICACEAE|Lepidium africanum |Lepidium africanum (Burm.f.) DC. subsp. divaricatum (Aiton) Jonsell|LC|No||Perennial|Herb|0.2|1|400|1700|EC, FS, FSA, L, N, NC, NW, SA, WC
POACEAE|Leptochloa fusca |Leptochloa fusca (L.) Kunth|LC|No||Perennial|Graminoid|0|1.54|2|2000|B, EC, FS, FSA, G, KZN, LIM, M, N, NC, NW, S, SA, WC
LAMIACEAE|Leucas capensis |Leucas capensis (Benth.) Engl.|LC|No||Perennial|Dwarf shrub|0.25|1.5|30|1465|B, EC, FSA, G, KZN, LIM, M, N, NC, NW, S, SA
ROSACEAE|Leucosidea sericea |Leucosidea sericea Eckl. & Zeyh.|LC|No||Perennial|Shrub|2|7|900|2700|EC, FS, FSA, G, KZN, L, LIM, M, NW, SA
LINACEAE|Linum aethiopicum |Linum aethiopicum Thunb.|LC|No||Perennial|Dwarf shrub, herb|0.3|0.91|5|765|EC, FSA, SA, WC
VERBENACEAE|Lippia scaberrima|Lippia scaberrima Sond.|LC|No||Perennial|Herb|0.3|0.6|765|1800|B, FS, FSA, G, M, NC, NW, SA
LOBELIACEAE|Lobelia flaccida|Lobelia flaccida (C.Presl) A.DC. subsp. flaccida|LC|No||Annual (occ. perennial)|Herb|0.15|1|15|2500|EC, FS, FSA, G, KZN, L, LIM, M, NC, NW, S, SA, WC
FABACEAE|Lotononis tenella |Lotononis tenella (E.Mey.) Eckl. & Zeyh.|LC|No||Perennial|Herb|0|0.02|15|1800|EC, FS, FSA, G, L, NW, SA, WC
SOLANACEAE|Lycium schizocalyx |Lycium schizocalyx C.H.Wright|LC|No||Perennial|Dwarf shrub, shrub|0.5|2|610|1600|B, EC, FS, FSA, LIM, N, NC, NW, SA, WC
MESEMBRYANTHEMACEAE|Malephora crassa |Malephora crassa (L.Bolus) H.Jacobsen & Schwantes|LC|No||Perennial|Succulent|0|0.3|470|600|FSA, NC, SA, WC
FABACEAE|Medicago lupulina|Medicago lupulina L.|Not Evaluated|No||Annual (occ. perennial)|Herb|0|0.1|650|1550|EC, FSA, G, KZN, LIM, M, NW, SA, WC
MALVACEAE|Melhania didyma |Melhania didyma Eckl. & Zeyh.|LC|No||Perennial|Dwarf shrub|0.21|0.6|40|1372|B, EC, FSA, KZN, LIM, M, NW, S, SA
POACEAE|Melica racemosa |Melica racemosa Thunb.|LC|No|Melica decumbens|Perennial|Graminoid|0.3|0.5|5|1500|EC, FS, FSA, G, KZN, L, M, NC, SA, WC
POACEAE|Melinis nerviglumis |Melinis nerviglumis (Franch.) Zizka|LC|No||Perennial|Graminoid|0|1.5|5|2400|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
POACEAE|Melinis repens |Melinis repens (Willd.) Zizka subsp. repens|LC|No||Annual (occ. perennial)|Graminoid|0|1.5|30|2400|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
POACEAE|Merxmuellera disticha |Merxmuellera disticha (Nees) Conert||No| Tenaxia disticha|Perennial|Graminoid|0|0.69|120|3300|EC, FS, FSA, KZN, L, SA, WC
POACEAE|Merxmuellera stricta |Merxmuellera stricta (Schrad.) Conert||No| Tenaxia stricta|Perennial|Graminoid|0.3|0.8|5|3300|EC, FSA, KZN, L, N, NC, SA, WC
MESEMBRYANTHEMACEAE|Mesembryanthemum aitonis|Mesembryanthemum aitonis Jacq.|LC|No||Annual or biennial|Succulent|0|0.2|20|1200|EC, FSA, NC, SA, WC
MESEMBRYANTHEMACEAE|Mesembryanthemum crystallinum|Mesembryanthemum crystallinum L.|LC|No||Annual|Succulent|0|0.5|20|1300|EC, FSA, N, NC, SA, WC
MESEMBRYANTHEMACEAE|Mestoklema tuberosum |Mestoklema tuberosum (L.) N.E.Br. ex Glen|LC|No||Perennial|Succulent|0|0.6|100|800|EC, FSA, SA
IRIDACEAE|Moraea reticulata |Moraea reticulata Goldblatt|LC|No||Perennial|Geophyte, herb|0.69|0.89|0|1525|EC, FSA, SA
IRIDACEAE|Moraea spathulata |Moraea spathulata (L.f.) Klatt|LC|No||Perennial|Geophyte, herb|0.37|1.51|30|2745|EC, FS, FSA, KZN, L, M, S, SA, WC
POLYGALACEAE|Muraltia alopecuroides |Muraltia alopecuroides (L.) DC.|LC|No||Perennial|Dwarf shrub, shrub|0.2|1|0|2100|EC, FSA, SA, WC
POLYGALACEAE|Muraltia macowanii|Muraltia macowanii Levyns|LC|No||Perennial|Dwarf shrub, shrub|0.4|1.21|155|1160|FSA, SA, WC
POLYGALACEAE|Muraltia mixta |Muraltia mixta (L.f.) DC.|DDD|No||Perennial|Dwarf shrub|0|0.15|230|1675|FSA, SA, WC
POACEAE|Nassella neesiana |Nassella neesiana (Trin. & Rupr.) Barkworth|Not Evaluated|No||Perennial|Graminoid|0|1|600|1700|EC, FS, FSA, SA
BRASSICACEAE|Nasturtium officinale |Nasturtium officinale R.Br.|Not Evaluated|No||Perennial|Herb|0.15|0.6|50|2300|EC, FS, FSA, G, KZN, L, LIM, M, NW, SA, WC
NECKERACEAE|Neckera valentiniana |Neckera valentiniana Besch.||No||Perennial|Bryophyte, epiphyte|0|0|20|2000|EC, FSA, KZN, L, LIM, M, NW, SA, WC
SCROPHULARIACEAE|Nemesia melissifolia|Nemesia melissifolia Benth.|LC|No||Annual|Herb|0.1|0.6|20|2135|EC, FSA, KZN, NC, S, SA, WC
AMARYLLIDACEAE|Nerine undulata |Nerine undulata (L.) Herb.|LC|No||Perennial|Geophyte|0|0.3|400|1400|EC, FSA, SA
LAMIACEAE|Ocimum canum |Ocimum canum Sims||No| Ocimum americanum var. americanum|Perennial|Herb, shrub|0.15|0.5|10|1650|B, FSA, KZN, N, S, SA
OLEACEAE|Olea africana |Olea africana Mill.||No| Olea europaea subsp. africana|[No lifecycle defined]|[No lifeform defined]|0|0|0|0|[No distribution defined]
ASTERACEAE|Oligocarpus calendulaceus |Oligocarpus calendulaceus (L.f.) Less.|LC|No||Annual|Herb|0|0|20|1465|EC, FSA, KZN, NC, SA, WC
POACEAE|Oplismenus hirtellus |Oplismenus hirtellus (L.) P.Beauv.|LC|No||Perennial|Graminoid, scrambler|0|1|10|1600|EC, FSA, KZN, LIM, M, NW, S, SA, WC
CACTACEAE|Opuntia aurantiaca |Opuntia aurantiaca Lindl.|Not Evaluated|No||Perennial|Shrub, succulent|0|1|0|1750|EC, FS, FSA, G, KZN, M, NC, NW, SA, WC
